Component Name,Type,Path,Usage Count,File Types,Used By Files
"NewAssistantSessionModal","local","@/components/AskAssistant/Chat/NewAssistantSessionModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"ImportWorkflowUrlModal","local","@/components/ImportWorkflowUrlModal.vue",2,"component","components/Modals.vue; components/Modals.vue"
"CollectionParameter","local","@/components/CollectionParameter.vue",2,"component","components/MultipleParameter.vue; components/MultipleParameter.vue"
"NDVFloatingNodes","local","@/components/NDVFloatingNodes.vue",2,"component","components/NDVDraggablePanels.vue; components/NDVDraggablePanels.vue"
"CommunityNodeInstallHint","local","../Panel/CommunityNodeInstallHint.vue",2,"component","components/Node/NodeCreator/ItemTypes/CommunityNodeItem.vue; components/Node/NodeCreator/Renderers/CategorizedItemsRenderer.vue"
"ItemsRenderer","local","@/components/Node/NodeCreator/Renderers/ItemsRenderer.vue",2,"component","components/Node/NodeCreator/ItemsRenderer.test.ts; components/Node/NodeCreator/ItemsRenderer.test.ts"
"ItemsRenderer","local","../Renderers/ItemsRenderer.vue",2,"component","components/Node/NodeCreator/Modes/ActionsMode.vue; components/Node/NodeCreator/Modes/NodesMode.vue"
"CategorizedItemsRenderer","local","../Renderers/CategorizedItemsRenderer.vue",2,"component","components/Node/NodeCreator/Modes/ActionsMode.vue; components/Node/NodeCreator/Modes/NodesMode.vue"
"NodesListPanel","local","./Panel/NodesListPanel.vue",2,"component","components/Node/NodeCreator/NodeCreator.vue; components/Node/NodeCreator/NodesListPanel.test.ts"
"CommunityNodeDetails","local","./CommunityNodeDetails.vue",2,"component","components/Node/NodeCreator/Panel/CommunityNodeDetails.test.ts; components/Node/NodeCreator/Panel/NodesListPanel.vue"
"CommunityNodeFooter","local","./CommunityNodeFooter.vue",2,"component","components/Node/NodeCreator/Panel/CommunityNodeFooter.test.ts; components/Node/NodeCreator/Panel/NodesListPanel.vue"
"CommunityNodeInfo","local","./CommunityNodeInfo.vue",2,"component","components/Node/NodeCreator/Panel/CommunityNodeInfo.test.ts; components/Node/NodeCreator/Panel/NodesListPanel.vue"
"NodeDetailsView","local","@/components/NodeDetailsView.vue",2,"component","components/NodeDetailsView.test.ts; components/NodeDetailsView.test.ts"
"NodeSettings","local","@/components/NodeSettings.vue",2,"component","components/NodeDetailsView.vue; components/NodeDetailsView.vue"
